course_name,location,tee_box,played_at,par,score,course_rating,slope_rating,weather,round_type,notes
Riverview Country Club,"Austin, TX",Blue,2023-10-14,72,85,71.4,128,"Sunny, light breeze",Casual,"Good ball striking, 3-putted 3 holes"
Pinehurst Hills Golf Course,"Houston, TX",White,2023-10-28,71,83,69.8,122,"Overcast, no wind",Casual,"Best ball striking round of the fall, short game was shaky"
Lakewood Junior Invitational - Round 1,"Dallas, TX",Blue,2023-11-11,72,88,72.1,132,"Cold, 45F, gusty wind",Tournament,"Wind made scoring tough, drove it well"
Lakewood Junior Invitational - Round 2,"Dallas, TX",Blue,2023-11-12,72,84,72.1,132,"Partly cloudy, calm",Tournament,Rebounded well — scrambling saved several holes
Creekside Golf Club,"San Antonio, TX",White,2023-12-02,72,80,70.2,120,"Mild, sunny",Casual,"Personal best — putted very well, only 29 putts"
The Oaks Golf & Country Club,"Austin, TX",Blue,2023-12-23,72,91,73.0,138,"Windy, 55F",Casual,"Tough course, struggled with iron accuracy, 3 penalty shots"
Riverview Country Club,"Austin, TX",Blue,2024-01-13,72,82,71.4,128,"Clear, mild",Casual,"Good round — consistent ball striking, 31 putts"
Meadow Brook Links,"Round Rock, TX",White,2024-01-27,71,87,70.5,124,"Foggy morning, cleared by back nine",Casual,"Slow start, improved on back nine"
State Junior Qualifier,"Georgetown, TX",Blue,2024-02-10,72,86,72.3,131,"Sunny, warm for February",Tournament,"Pressure affected putting early, settled down on back nine"
Cedar Valley Golf Course,"Pflugerville, TX",White,2024-02-24,72,84,70.9,126,"Cloudy, light rain on holes 14-16",Casual,"Handled adverse conditions well, approach shots improving"
